name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
St. Mary's Square,2773694353532228764,restroom,0,0,0,0,37.7917148,-122.4050789,rec,POINT (-122.4050789 37.7917148),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,108,104,6,3
Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72936532,-122.40966414,rec,POINT (-122.40966414 37.72936532),9,Portola,2023-03-08,2023-03-08T15:29:00Z,25,130,91,2,2
McCoppin Square,1509436752478679569,drinking_water,1,0,0,0,37.74335886,-122.48071011,rec,POINT (-122.48071011 37.74335886),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,139,40,10,7
West Sunset Playground,7394643088409434148,drinking_water,1,0,0,0,37.75081461,-122.49830886,rec,POINT (-122.49830886 37.75081461),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,93,39,10,7
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77132558,-122.49902721,rec,POINT (-122.49902721 37.77132558),1,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
,8817975702393619368,restroom,0,0,0,0,37.71408478,-122.42330327,rec,POINT (-122.42330327 37.71408478),10,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19,,73,9,9
24th and Mission (JCDecaux),7281076794307575995,restroom,0,0,0,0,37.7521752,-122.4185771,pit_stop,POINT (-122.4185771 37.7521752),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Noe Valley Courts,7029988507837525942,drinking_water,1,0,0,0,37.75123798,-122.43898765,rec,POINT (-122.43898765 37.75123798),8,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22,132,51,3,5
Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76679915,-122.50817339,rec,POINT (-122.50817339 37.76679915),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,234,9,8,4
,8817975702393619368,restroom,0,0,0,0,37.80189573,-122.4139387,rec,POINT (-122.4139387 37.80189573),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,,107,6,3
Gilman Playground,4279471113896791598,drinking_water,1,0,0,0,37.71732023,-122.3871657,rec,POINT (-122.3871657 37.71732023),10,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1,169,88,2,9
Alta Plaza Park,2241215992070893956,drinking_water,1,0,0,0,37.79117799,-122.43716113,rec,POINT (-122.43716113 37.79117799),2,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30,149,102,4,6
States Street Playground,1226215836415782389,restroom,0,0,0,0,37.76376474,-122.43856948,rec,POINT (-122.43856948 37.76376474),8,Castro/Upper Market,2023-03-08,2023-03-08T15:29:00Z,5,107,113,7,5
Joseph L. Alioto Performing Arts Piazza,1121675889758828519,drinking_water,1,0,0,0,37.77989802,-122.4172927,rec,POINT (-122.4172927 37.77989802),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,57,21,4,10
Helen Wills Playground,1518179830506757776,drinking_water,1,0,0,0,37.79571325,-122.42046723,rec,POINT (-122.42046723 37.79571325),3,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32,175,105,4,3
16th and Capp streets   TEMPORARILY CLOSED,6219708960125226485,restroom,0,0,0,0,37.7651596,-122.4187982,pit_stop,POINT (-122.4187982 37.7651596),9,Mission,2023-03-08,2023-03-08T15:29:00Z,20,,53,3,2
Golden Gate Park - Section 5,6218325272602983271,restroom,0,0,0,0,37.76952981,-122.48469261,rec,POINT (-122.48469261 37.76952981),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
Sunset Rec Center,3142068490630731138,drinking_water,1,0,0,0,37.75683512,-122.48689079,rec,POINT (-122.48689079 37.75683512),4,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35,105,39,10,7
Buena Vista Avenue East & Haight Street,5573892709891802927,restroom,0,0,0,0,37.7708518,-122.4403874,pit_stop,POINT (-122.4403874 37.7708518),5,Haight Ashbury,2023-03-08,2023-03-08T15:29:00Z,3,,112,7,11
Victoria Manalo Draves Park (Rec Park),221747607211983534,restroom,0,0,0,0,37.7767602,-122.4060242,pit_stop,POINT (-122.4060242 37.7767602),6,South of Market,2023-03-08,2023-03-08T15:29:00Z,34,98,32,1,10
Fulton Playground,2431148630494119459,drinking_water,1,0,0,0,37.77352288,-122.48697439,rec,POINT (-122.48697439 37.77352288),1,Outer Richmond,2023-03-08,2023-03-08T15:29:00Z,29,210,8,8,4
Golden Gate Park - Section 7,7708155196457707211,drinking_water,1,0,0,0,37.76916936,-122.45877021,rec,POINT (-122.45877021 37.76916936),7,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,228,9,7,11
West Portal Playground,5278295398742666438,drinking_water,1,0,0,0,37.74173372,-122.46516693,rec,POINT (-122.46516693 37.74173372),7,West of Twin Peaks,2023-03-08,2023-03-08T15:29:00Z,41,223,46,10,8
St. Mary's Rec Center,2831681459449739072,restroom,0,0,0,0,37.7335634,-122.42139728,rec,POINT (-122.42139728 37.7335634),9,Bernal Heights,2023-03-08,2023-03-08T15:29:00Z,2,109,93,9,2
Mechanics Plaza at Battery/Market,4010859251661602629,drinking_water,0,1,0,0,37.79129,-122.399052,puc,POINT (-122.399052 37.79129),3,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8,,108,6,3
Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.7694843,-122.4847645,rec,POINT (-122.4847645 37.7694843),4,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12,233,9,8,4
Mountain Lake Park,4251616439565783958,drinking_water,1,0,0,0,37.78696692,-122.46778648,rec,POINT (-122.46778648 37.78696692),1,Inner Richmond,2023-03-08,2023-03-08T15:29:00Z,11,134,4,,6
474 O'Farrell Street,5601879945750936299,restroom,0,0,0,0,37.7858991,-122.4119361,pit_stop,POINT (-122.4119361 37.7858991),5,Tenderloin,2023-03-08,2023-03-08T15:29:00Z,36,,20,5,10
Community Youth Center,3575271813702956970,drinking_water,0,1,0,0,37.78702,-122.419028,puc,POINT (-122.419028 37.78702),3,Nob Hill,2023-03-08,2023-03-08T15:29:00Z,21,,50,4,3
