,name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Analysis Neighborhoods,Recreation and Parks Properties,Neighborhoods,Current Police Districts,Current Supervisor Districts
0,St. Mary's Square,2773694353532228764,restroom,0,0,0,0,37.7917148,-122.4050789,rec,POINT (-122.4050789 37.7917148),3.0,Financial District/South Beach,2023-03-08,2023-03-08T15:29:00Z,8.0,108.0,104.0,6.0,3.0
1,Palega Playground,554641599873380642,drinking_water,1,0,0,0,37.72936532,-122.40966414,rec,POINT (-122.40966414 37.72936532),9.0,Portola,2023-03-08,2023-03-08T15:29:00Z,25.0,130.0,91.0,2.0,2.0
2,McCoppin Square,1509436752478679569,drinking_water,1,0,0,0,37.74335886,-122.48071011,rec,POINT (-122.48071011 37.74335886),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,139.0,40.0,10.0,7.0
3,West Sunset Playground,7394643088409434148,drinking_water,1,0,0,0,37.75081461,-122.49830886,rec,POINT (-122.49830886 37.75081461),4.0,Sunset/Parkside,2023-03-08,2023-03-08T15:29:00Z,35.0,93.0,39.0,10.0,7.0
4,Golden Gate Park - Section 5,6218325272602983271,drinking_water,1,0,0,0,37.77132558,-122.49902721,rec,POINT (-122.49902721 37.77132558),1.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,233.0,9.0,8.0,4.0
5,,8817975702393619368,restroom,0,0,0,0,37.71408478,-122.42330327,rec,POINT (-122.42330327 37.71408478),10.0,McLaren Park,2023-03-08,2023-03-08T15:29:00Z,19.0,,73.0,9.0,9.0
6,24th and Mission (JCDecaux),7281076794307575995,restroom,0,0,0,0,37.7521752,-122.4185771,pit_stop,POINT (-122.4185771 37.7521752),9.0,Mission,2023-03-08,2023-03-08T15:29:00Z,20.0,,53.0,3.0,2.0
7,Noe Valley Courts,7029988507837525942,drinking_water,1,0,0,0,37.75123798,-122.43898765,rec,POINT (-122.43898765 37.75123798),8.0,Noe Valley,2023-03-08,2023-03-08T15:29:00Z,22.0,132.0,51.0,3.0,5.0
8,Golden Gate Park - Section 6,8799521284584025481,drinking_water,1,0,0,0,37.76679915,-122.50817339,rec,POINT (-122.50817339 37.76679915),4.0,Golden Gate Park,2023-03-08,2023-03-08T15:29:00Z,12.0,234.0,9.0,8.0,4.0
9,,8817975702393619368,restroom,0,0,0,0,37.80189573,-122.4139387,rec,POINT (-122.4139387 37.80189573),3.0,Russian Hill,2023-03-08,2023-03-08T15:29:00Z,32.0,,107.0,6.0,3.0
10,Gilman Playground,4279471113896791598,drinking_water,1,0,0,0,37.71732023,-122.3871657,rec,POINT (-122.3871657 37.71732023),10.0,Bayview Hunters Point,2023-03-08,2023-03-08T15:29:00Z,1.0,169.0,88.0,2.0,9.0
11,Alta Plaza Park,2241215992070893956,drinking_water,1,0,0,0,37.79117799,-122.43716113,rec,POINT (-122.43716113 37.79117799),2.0,Pacific Heights,2023-03-08,2023-03-08T15:29:00Z,30.0,149.0,102.0,4.0,6.0
